[2026-01-17 00:03:38,279] 161 numexpr.utils - INFO - NumExpr defaulting to 16 threads.
[2026-01-17 00:03:39,796] 15 root - INFO - initate Data Inguetion
[2026-01-17 00:03:44,955] 84 root - INFO - Performed Train test Split
[2026-01-17 00:03:44,989] 97 root - INFO - Exported Train and Test set
[2026-01-17 00:03:44,990] 17 root - INFO - Data Initiation completed
[2026-01-17 00:03:44,993] 21 root - INFO - initate Data velidation
[2026-01-17 00:03:45,059] 35 root - INFO - Required no of column:2
[2026-01-17 00:03:45,059] 37 root - INFO - Dataframe has columns:31
[2026-01-17 00:03:45,059] 35 root - INFO - Required no of column:2
[2026-01-17 00:03:45,059] 37 root - INFO - Dataframe has columns:31
[2026-01-17 00:03:45,178] 23 root - INFO - initate Data velidation complted
