[2026-01-17 20:55:21,794] 161 numexpr.utils - INFO - NumExpr defaulting to 16 threads.
[2026-01-17 20:55:29,284] 16 root - INFO - initate Data Inguetion
[2026-01-17 20:55:40,258] 84 root - INFO - Performed Train test Split
[2026-01-17 20:55:40,293] 97 root - INFO - Exported Train and Test set
[2026-01-17 20:55:40,294] 18 root - INFO - Data Initiation completed
[2026-01-17 20:55:40,314] 22 root - INFO - initate Data velidation
[2026-01-17 20:55:40,389] 35 root - INFO - Required no of column:2
[2026-01-17 20:55:40,389] 37 root - INFO - Dataframe has columns:31
[2026-01-17 20:55:40,389] 35 root - INFO - Required no of column:2
[2026-01-17 20:55:40,389] 37 root - INFO - Dataframe has columns:31
[2026-01-17 20:55:40,496] 24 root - INFO - initate Data velidation complted
[2026-01-17 20:55:40,497] 27 root - INFO - Data Transformation Started
[2026-01-17 20:55:40,497] 57 root - INFO - Entered initate data_transformation methord of DataTransformation class
[2026-01-17 20:55:40,497] 59 root - INFO - started Data Trandsformation
[2026-01-17 20:55:40,588] 39 root - INFO - entered get_data_transformet_object methord of transformer class 
