[2026-01-17 20:59:35,036] 161 numexpr.utils - INFO - NumExpr defaulting to 16 threads.
[2026-01-17 20:59:36,519] 16 root - INFO - initate Data Inguetion
[2026-01-17 21:00:14,781] 84 root - INFO - Performed Train test Split
[2026-01-17 21:00:14,817] 97 root - INFO - Exported Train and Test set
[2026-01-17 21:00:14,817] 18 root - INFO - Data Initiation completed
[2026-01-17 21:00:14,821] 22 root - INFO - initate Data velidation
[2026-01-17 21:00:14,897] 35 root - INFO - Required no of column:2
[2026-01-17 21:00:14,897] 37 root - INFO - Dataframe has columns:31
[2026-01-17 21:00:14,897] 35 root - INFO - Required no of column:2
[2026-01-17 21:00:14,897] 37 root - INFO - Dataframe has columns:31
[2026-01-17 21:00:14,997] 24 root - INFO - initate Data velidation complted
[2026-01-17 21:00:14,997] 27 root - INFO - Data Transformation Started
[2026-01-17 21:00:14,997] 57 root - INFO - Entered initate data_transformation methord of DataTransformation class
[2026-01-17 21:00:14,997] 59 root - INFO - started Data Trandsformation
[2026-01-17 21:00:15,088] 39 root - INFO - entered get_data_transformet_object methord of transformer class 
[2026-01-17 21:00:15,088] 44 root - INFO - Initiliase KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-17 21:00:15,096] 56 root - INFO - Entered the save file object method of MainUtils class
[2026-01-17 21:00:15,098] 60 root - INFO - Exited the save_object method of MainUtils class
[2026-01-17 21:00:15,099] 30 root - INFO - Data Transformation completed
