[2026-01-20 14:07:47,315] 161 numexpr.utils - INFO - NumExpr defaulting to 16 threads.
[2026-01-20 14:07:51,421] 16 root - INFO - initate Data Inguetion
[2026-01-20 14:07:55,807] 84 root - INFO - Performed Train test Split
[2026-01-20 14:07:55,844] 97 root - INFO - Exported Train and Test set
[2026-01-20 14:07:55,844] 18 root - INFO - Data Initiation completed
[2026-01-20 14:07:55,848] 22 root - INFO - initate Data velidation
[2026-01-20 14:07:55,902] 35 root - INFO - Required no of column:2
[2026-01-20 14:07:55,903] 37 root - INFO - Dataframe has columns:31
[2026-01-20 14:07:55,903] 35 root - INFO - Required no of column:2
[2026-01-20 14:07:55,903] 37 root - INFO - Dataframe has columns:31
[2026-01-20 14:07:56,012] 24 root - INFO - initate Data velidation complted
[2026-01-20 14:07:56,012] 27 root - INFO - Data Transformation Started
[2026-01-20 14:07:56,013] 57 root - INFO - Entered initate data_transformation methord of DataTransformation class
[2026-01-20 14:07:56,013] 59 root - INFO - started Data Trandsformation
[2026-01-20 14:07:56,077] 39 root - INFO - entered get_data_transformet_object methord of transformer class 
[2026-01-20 14:07:56,077] 44 root - INFO - Initiliase KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-20 14:07:56,089] 58 root - INFO - Entered the save file object method of MainUtils class
[2026-01-20 14:07:56,091] 62 root - INFO - Exited the save_object method of MainUtils class
[2026-01-20 14:07:56,091] 30 root - INFO - Data Transformation completed
[2026-01-20 14:07:56,092] 33 root - INFO - model tranning started
[2026-01-20 14:32:32,545] 58 root - INFO - Entered the save file object method of MainUtils class
[2026-01-20 14:32:32,553] 62 root - INFO - Exited the save_object method of MainUtils class
[2026-01-20 14:32:32,553] 137 root - INFO - model trainer artifects ModleTrainerArtifact(trained_model_file_path='Artifacts\\01_20_2026_07_14_47\\model_trainer\\trained_model\\model_trainner.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9914979757085021, precision_score=0.9894949494949495, recall_score=0.9935091277890467), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9768009768009768, precision_score=0.975609756097561, recall_score=0.9779951100244498))
[2026-01-20 14:32:32,563] 38 root - INFO - Model Trainer artifact created
