iter	Logloss
0	0.5517660941
1	0.4409162296
2	0.3633092693
3	0.309182956
4	0.2678145362
5	0.2386670606
6	0.2165362126
7	0.1985965282
8	0.1841398918
9	0.1713053938
10	0.1622317214
11	0.1532531904
12	0.1453339548
13	0.1390687691
14	0.1337122095
15	0.1291762015
16	0.1253718976
17	0.1221187321
18	0.1179005292
19	0.1139874124
20	0.1109701128
21	0.1079136345
22	0.1053645265
23	0.1037947552
24	0.1019723962
25	0.09988141071
26	0.09693402826
27	0.09460656258
28	0.09316784718
29	0.09121715834
30	0.08997570298
31	0.08837235691
32	0.08639494621
33	0.08508338048
34	0.08379743931
35	0.08257658435
36	0.08081322458
37	0.07927669006
38	0.07808546932
39	0.07688918301
40	0.07675412444
41	0.07551382161
42	0.07443968153
43	0.07433428478
44	0.07319652846
45	0.07244206381
46	0.07151921418
47	0.07077276194
48	0.06978724155
49	0.06885112071
50	0.06823678019
51	0.06756632515
52	0.06649852047
53	0.06560048104
54	0.06487493286
55	0.06369155891
56	0.06313162139
57	0.06242147693
58	0.06168466583
59	0.06105001476
60	0.06052393506
61	0.05981780716
62	0.05926136861
63	0.05883556488
64	0.0586339156
65	0.05859780797
66	0.05821154873
67	0.05784855726
68	0.05736221872
69	0.0569569878
70	0.05633456585
71	0.0555317541
72	0.05494570549
73	0.05462815911
74	0.05410574055
75	0.05340861196
76	0.05335819791
77	0.05315105174
78	0.052779268
79	0.05245437173
80	0.05207496205
81	0.0515201453
82	0.05094505251
83	0.05036235794
84	0.05003391095
85	0.04969920103
86	0.0493161302
87	0.04885158599
88	0.04862666896
89	0.04835470916
90	0.04770739075
91	0.04726105219
92	0.04701517934
93	0.0467339787
94	0.04642284019
95	0.04607030764
96	0.04576389653
97	0.04553410372
98	0.04523172297
99	0.04481166803
100	0.04442404924
101	0.04409359052
102	0.04379844924
103	0.04357663089
104	0.04318142067
105	0.04276610693
106	0.04257664191
107	0.04234345711
108	0.04216472707
109	0.04193059334
110	0.04173323322
111	0.04142638042
112	0.04125281946
113	0.04100172577
114	0.04080312342
115	0.04066021461
116	0.040527606
117	0.04035158817
118	0.04020201615
119	0.04005429368
120	0.03980246845
121	0.0396828205
122	0.03949449764
123	0.03937711677
124	0.03924272072
125	0.03906267253
126	0.03883039525
127	0.03869125801
128	0.03858177913
129	0.03845113395
130	0.03830804225
131	0.0381556338
132	0.03801143789
133	0.03788062363
134	0.03775730418
135	0.03762045817
136	0.0374600925
137	0.03703777049
138	0.03689573125
139	0.03678925099
140	0.03657268108
141	0.03647897859
142	0.03638679094
143	0.03627615609
144	0.03617076279
145	0.03606493125
146	0.03595513146
147	0.03569930692
148	0.03562745052
149	0.0355444623
150	0.03544672255
151	0.0353701767
