[2026-01-29 16:58:32,969] 16 root - INFO - initate Data Inguetion
[2026-01-29 16:58:39,364] 84 root - INFO - Performed Train test Split
[2026-01-29 16:58:39,397] 97 root - INFO - Exported Train and Test set
[2026-01-29 16:58:39,397] 18 root - INFO - Data Initiation completed
[2026-01-29 16:58:39,397] 22 root - INFO - initate Data velidation
[2026-01-29 16:58:39,479] 35 root - INFO - Required no of column:2
[2026-01-29 16:58:39,479] 37 root - INFO - Dataframe has columns:31
[2026-01-29 16:58:39,479] 35 root - INFO - Required no of column:2
[2026-01-29 16:58:39,479] 37 root - INFO - Dataframe has columns:31
[2026-01-29 16:58:39,554] 24 root - INFO - initate Data velidation complted
[2026-01-29 16:58:39,570] 27 root - INFO - Data Transformation Started
[2026-01-29 16:58:39,572] 57 root - INFO - Entered initate data_transformation methord of DataTransformation class
[2026-01-29 16:58:39,572] 59 root - INFO - started Data Trandsformation
[2026-01-29 16:58:39,633] 39 root - INFO - entered get_data_transformet_object methord of transformer class 
[2026-01-29 16:58:39,633] 44 root - INFO - Initiliase KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-29 16:58:39,651] 58 root - INFO - Entered the save file object method of MainUtils class
[2026-01-29 16:58:39,651] 62 root - INFO - Exited the save_object method of MainUtils class
[2026-01-29 16:58:39,651] 58 root - INFO - Entered the save file object method of MainUtils class
[2026-01-29 16:58:39,651] 62 root - INFO - Exited the save_object method of MainUtils class
[2026-01-29 16:58:39,651] 30 root - INFO - Data Transformation completed
[2026-01-29 16:58:39,651] 33 root - INFO - model tranning started
