[2026-01-29 16:59:13,081] 16 root - INFO - initate Data Inguetion
[2026-01-29 16:59:17,241] 84 root - INFO - Performed Train test Split
[2026-01-29 16:59:17,256] 97 root - INFO - Exported Train and Test set
[2026-01-29 16:59:17,256] 18 root - INFO - Data Initiation completed
[2026-01-29 16:59:17,272] 22 root - INFO - initate Data velidation
[2026-01-29 16:59:17,354] 35 root - INFO - Required no of column:2
[2026-01-29 16:59:17,354] 37 root - INFO - Dataframe has columns:31
[2026-01-29 16:59:17,354] 35 root - INFO - Required no of column:2
[2026-01-29 16:59:17,354] 37 root - INFO - Dataframe has columns:31
[2026-01-29 16:59:17,454] 24 root - INFO - initate Data velidation complted
[2026-01-29 16:59:17,454] 27 root - INFO - Data Transformation Started
[2026-01-29 16:59:17,454] 57 root - INFO - Entered initate data_transformation methord of DataTransformation class
[2026-01-29 16:59:17,454] 59 root - INFO - started Data Trandsformation
[2026-01-29 16:59:17,534] 39 root - INFO - entered get_data_transformet_object methord of transformer class 
[2026-01-29 16:59:17,534] 44 root - INFO - Initiliase KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-29 16:59:17,547] 58 root - INFO - Entered the save file object method of MainUtils class
[2026-01-29 16:59:17,547] 62 root - INFO - Exited the save_object method of MainUtils class
[2026-01-29 16:59:17,547] 58 root - INFO - Entered the save file object method of MainUtils class
[2026-01-29 16:59:17,547] 62 root - INFO - Exited the save_object method of MainUtils class
[2026-01-29 16:59:17,547] 30 root - INFO - Data Transformation completed
[2026-01-29 16:59:17,547] 33 root - INFO - model tranning started
[2026-01-29 17:08:56,048] 58 root - INFO - Entered the save file object method of MainUtils class
[2026-01-29 17:08:56,053] 62 root - INFO - Exited the save_object method of MainUtils class
[2026-01-29 17:08:56,053] 58 root - INFO - Entered the save file object method of MainUtils class
[2026-01-29 17:08:56,053] 62 root - INFO - Exited the save_object method of MainUtils class
[2026-01-29 17:08:56,053] 160 root - INFO - Model trainer artifact created: ModleTrainerArtifact(trained_model_file_path='Artifacts\\01_29_2026_59_16_11\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9896472007236908), precision_score=np.float64(0.9853883106485188), recall_score=np.float64(0.9939430648092066)), test_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9779074614422676), precision_score=np.float64(0.9815899581589959), recall_score=np.float64(0.9742524916943521)))
[2026-01-29 17:08:56,056] 38 root - INFO - Model Trainer artifact created
